"name","mode","type"
"uid","NULLABLE","STRING"
"d_931332817","NULLABLE","STRING"
"Connect_ID","NULLABLE","INTEGER"
"sha","NULLABLE","STRING"
"D_494226443","NULLABLE","STRING"
"D_890156588_V2","NULLABLE","STRING"
"D_877074400_V2","NULLABLE","STRING"
"D_860011428","NULLABLE","STRING"
"D_980800222_V2_1_1","NULLABLE","STRING"
"D_366980310_1_1","NULLABLE","STRING"
"D_694503437_1_1","NULLABLE","STRING"
"D_451163824_1_1","NULLABLE","STRING"
"D_928530823_1_1","NULLABLE","STRING"
"D_108733102_1_1","NULLABLE","STRING"
"D_389465772_1_1","NULLABLE","STRING"
"D_775313030_1_1","NULLABLE","STRING"
"D_715581797_1_1","NULLABLE","STRING"
"D_715581797_2_2","NULLABLE","STRING"
"D_744230001_1_1","NULLABLE","STRING"
"D_782396371_1_1","NULLABLE","STRING"
"D_930944000_1_1","NULLABLE","STRING"
"D_984121390_1_1","NULLABLE","STRING"
"D_430166879_1_1","NULLABLE","STRING"
"D_179406442_1_1","NULLABLE","STRING"
"D_803339020_1_1","NULLABLE","STRING"
"D_893966847_1_1","NULLABLE","STRING"
"D_169509213_1_1","NULLABLE","STRING"
"D_591826144","NULLABLE","STRING"
"D_934384452","NULLABLE","STRING"
"D_273371161","NULLABLE","STRING"
"D_715581797_V2_1_1","NULLABLE","STRING"
"D_715581797_V2_2_2","NULLABLE","STRING"
"D_715581797_V2_3_3","NULLABLE","STRING"
"D_813989715.D_580629349","NULLABLE","STRING"
"D_813989715.D_874223830","NULLABLE","STRING"
"D_813989715.D_151327643","NULLABLE","STRING"
"D_813989715.D_874168085","NULLABLE","STRING"
"D_813989715.D_283112988","NULLABLE","STRING"
"D_813989715.D_440872808","NULLABLE","STRING"
"D_857165713.D_638380747","NULLABLE","STRING"
"D_857165713.D_847529903","NULLABLE","STRING"
"D_857165713.D_219358831","NULLABLE","STRING"
"D_857165713.D_636367178","NULLABLE","STRING"
"D_857165713.D_243443780","NULLABLE","STRING"
"D_857165713.D_357462273","NULLABLE","STRING"
"D_857165713.D_187399900","NULLABLE","STRING"
"D_705336878_1_1.D_705336878_1_1","REPEATED","STRING"
"D_705336878_1_1.D_218852075_1_1","NULLABLE","STRING"
"D_847578001.D_167695804","NULLABLE","STRING"
"D_847578001.D_215996690","NULLABLE","STRING"
"D_847578001.D_462737492","NULLABLE","STRING"
"D_847578001.D_469675296","NULLABLE","STRING"
"D_847578001.D_488415137","NULLABLE","STRING"
"D_847578001.D_730334054","NULLABLE","STRING"
"D_136730307.D_989576239","NULLABLE","STRING"
"D_136730307.D_126794793","NULLABLE","STRING"
"D_136730307.D_338613869","NULLABLE","STRING"
"D_136730307.D_218793117","NULLABLE","STRING"
"D_136730307.D_962475128","NULLABLE","STRING"
"D_751358419.D_238135048","NULLABLE","STRING"
"D_751358419.D_524096053","NULLABLE","STRING"
"D_751358419.D_635026188","NULLABLE","STRING"
"D_751358419.D_814101706","NULLABLE","STRING"
"D_751358419.D_632714520","NULLABLE","STRING"
"D_110872086.D_110872086","NULLABLE","STRING"
"D_110872086.D_637540387","NULLABLE","STRING"
"D_114280729.D_747085418","NULLABLE","STRING"
"D_114280729.D_336856410","NULLABLE","STRING"
"D_114280729.D_702905707","NULLABLE","STRING"
"D_114280729.D_518602598","NULLABLE","STRING"
"D_114280729.D_986119909","NULLABLE","STRING"
"D_114280729.D_966214244","NULLABLE","STRING"
"D_114280729.D_368669706","NULLABLE","STRING"
"D_114280729.D_481587023","NULLABLE","STRING"
"D_114280729.D_994153376","NULLABLE","STRING"
"D_114280729.D_108389123","NULLABLE","STRING"
"D_114280729.D_605818246","NULLABLE","STRING"
"D_114280729.D_790860504","NULLABLE","STRING"
"D_220055064_1_1.D_220055064_1_1","NULLABLE","STRING"
"D_220055064_2_2.D_220055064_2_2","NULLABLE","STRING"
"D_220055064_2_2.D_395747093_2_2","NULLABLE","STRING"
"D_959877599.D_908044428","NULLABLE","STRING"
"D_959877599.D_700620868","NULLABLE","STRING"
"D_220055064_3_3.D_220055064_3_3","NULLABLE","STRING"
"D_749956170.D_143206081","NULLABLE","STRING"
"D_749956170.D_463689026","NULLABLE","STRING"
"D_749956170.D_246857412","NULLABLE","STRING"
