"name","mode","type"
"uid","NULLABLE","STRING"
"Connect_ID","NULLABLE","INTEGER"
"d_794613585","NULLABLE","STRING"
"D_479353866","NULLABLE","STRING"
"D_783167257","NULLABLE","STRING"
"D_407056417","NULLABLE","STRING"
"D_987107433","NULLABLE","STRING"
"D_537153788","NULLABLE","STRING"
"D_167101091","REPEATED","STRING"
"D_894259747","REPEATED","STRING"
"D_180961306","REPEATED","STRING"
"D_900541533","REPEATED","STRING"
"D_874046190","REPEATED","STRING"
"D_543728565","REPEATED","STRING"
"D_874709643","REPEATED","STRING"
"D_725626004","REPEATED","STRING"
"D_347860896","NULLABLE","STRING"
"D_624179836","REPEATED","STRING"
"D_453252072","NULLABLE","STRING"
"D_875208305","NULLABLE","STRING"
"D_323512813","NULLABLE","STRING"
"D_338924834","NULLABLE","STRING"
"D_952682839","NULLABLE","STRING"
"D_746012894","NULLABLE","STRING"
"D_677262300","NULLABLE","STRING"
"D_650399623","NULLABLE","STRING"
"D_820324171","NULLABLE","STRING"
"D_724181652","NULLABLE","STRING"
"D_183572295","NULLABLE","STRING"
"D_848580651","NULLABLE","STRING"
"D_936904328","REPEATED","STRING"
"D_365851428","NULLABLE","STRING"
"D_769668224","NULLABLE","STRING"
"D_109544008","NULLABLE","STRING"
"D_186831207","NULLABLE","STRING"
"D_283634623","NULLABLE","STRING"
"D_164752169","NULLABLE","STRING"
"D_512167179","NULLABLE","STRING"
"D_509933065","NULLABLE","STRING"
"D_967093163","NULLABLE","STRING"
"D_535621923","NULLABLE","STRING"
"D_992987417","NULLABLE","STRING"
"D_170440011","NULLABLE","STRING"
"D_276353712","NULLABLE","STRING"
"D_367374606","NULLABLE","STRING"
"D_659784914","NULLABLE","STRING"
"D_694265648","NULLABLE","STRING"
"D_446999144","NULLABLE","STRING"
"D_784967158","NULLABLE","STRING"
"D_613744428","NULLABLE","STRING"
"D_627122657","NULLABLE","STRING"
"D_761310265","NULLABLE","STRING"
"D_434316600","NULLABLE","STRING"
"D_868232409","NULLABLE","STRING"
"D_739294356","NULLABLE","STRING"
"D_847533056","NULLABLE","STRING"
"D_759004335","NULLABLE","STRING"
"D_646504105","NULLABLE","STRING"
"D_266847650","NULLABLE","STRING"
"D_378892977","NULLABLE","STRING"
"D_406098499_1_1","NULLABLE","STRING"
"D_579563781_1_1","NULLABLE","STRING"
"D_589588769_1_1","NULLABLE","STRING"
"D_890637099_1_1","NULLABLE","STRING"
