"name","mode","type"
"D_354980163","NULLABLE","STRING"
"D_912818075","NULLABLE","STRING"
"D_824165133","NULLABLE","STRING"
"D_725713485","NULLABLE","STRING"
"D_301052397","NULLABLE","STRING"
"D_580367946","NULLABLE","STRING"
"D_728437398","NULLABLE","STRING"
"D_571361258","NULLABLE","STRING"
"D_823919522","NULLABLE","STRING"
"D_491549803","NULLABLE","STRING"
"D_591723682","NULLABLE","STRING"
"D_479628567","REPEATED","STRING"
"D_901660173","NULLABLE","STRING"
"Connect_ID","NULLABLE","INTEGER"
"D_618482103","REPEATED","STRING"
"D_880331901","NULLABLE","STRING"
"D_224681201","NULLABLE","STRING"
"D_409324592","REPEATED","STRING"
"D_392874924","NULLABLE","STRING"
"D_953510929","NULLABLE","STRING"
"D_204421360","REPEATED","STRING"
"D_111235606","NULLABLE","STRING"
"D_636757313","NULLABLE","STRING"
"D_689956879","NULLABLE","STRING"
"D_894610280","REPEATED","STRING"
"D_406137786","NULLABLE","STRING"
"uid","NULLABLE","STRING"
"D_939897560","NULLABLE","STRING"
"D_267122668","NULLABLE","STRING"
"D_111082535","NULLABLE","STRING"
"D_910856756","NULLABLE","STRING"
"D_874262904","NULLABLE","STRING"
"D_680730257","NULLABLE","STRING"
"D_631303960","NULLABLE","STRING"
"D_422260069","NULLABLE","STRING"
"D_352531133","NULLABLE","STRING"
"D_849945160","NULLABLE","STRING"
"D_168431681","NULLABLE","STRING"
"D_996243083","NULLABLE","STRING"
"D_674976924","NULLABLE","STRING"
"D_195662769","NULLABLE","STRING"
"D_570187182","NULLABLE","STRING"
"D_292658699","NULLABLE","STRING"
"D_305312165","NULLABLE","STRING"
"D_392629868","NULLABLE","STRING"
"D_517976064","REPEATED","STRING"
"D_112024853","NULLABLE","STRING"
"D_167997205","NULLABLE","STRING"
"D_972593606","NULLABLE","STRING"
"D_698673038","NULLABLE","STRING"
"D_255761998","NULLABLE","STRING"
"D_823541843","NULLABLE","STRING"
"D_267261558","NULLABLE","STRING"
"D_806253825","NULLABLE","STRING"
