description,mode,name,type
uid,NULLABLE,uid,STRING
Connect_ID,NULLABLE,Connect_ID,INTEGER
D_399982309,REPEATED,D_399982309,STRING
D_414005872,NULLABLE,D_414005872,STRING
D_614123836,REPEATED,D_614123836,STRING
D_147792229,NULLABLE,D_147792229,STRING
D_976052812,NULLABLE,D_976052812,STRING
D_112024853,NULLABLE,D_112024853,STRING
D_982448213,NULLABLE,D_982448213,STRING
D_643361372,REPEATED,D_643361372,STRING
D_167997205,NULLABLE,D_167997205,STRING
D_972593606,NULLABLE,D_972593606,STRING
D_791830593,NULLABLE,D_791830593,STRING
D_164595895,NULLABLE,D_164595895,STRING
D_547633480,REPEATED,D_547633480,STRING
D_849945160,NULLABLE,D_849945160,STRING
D_996243083,NULLABLE,D_996243083,STRING
D_939897560,NULLABLE,D_939897560,STRING
D_224681201,NULLABLE,D_224681201,STRING
D_111082535,NULLABLE,D_111082535,STRING
D_543780863,REPEATED,D_543780863,STRING
D_880331901,NULLABLE,D_880331901,STRING
D_301052397,NULLABLE,D_301052397,STRING
D_734836192,NULLABLE,D_734836192,STRING
D_621744463,NULLABLE,D_621744463,STRING
D_204421360,REPEATED,D_204421360,STRING
D_517976064,REPEATED,D_517976064,STRING
D_894610280,REPEATED,D_894610280,STRING
D_267122668,NULLABLE,D_267122668,STRING
D_901660173,NULLABLE,D_901660173,STRING
D_591723682,NULLABLE,D_591723682,STRING
D_168431681,NULLABLE,D_168431681,STRING
D_636757313,NULLABLE,D_636757313,STRING
D_580367946,NULLABLE,D_580367946,STRING
D_392629868,NULLABLE,D_392629868,STRING
D_354980163,NULLABLE,D_354980163,STRING
D_823919522,NULLABLE,D_823919522,STRING
D_698673038,NULLABLE,D_698673038,STRING
D_874262904,NULLABLE,D_874262904,STRING
D_823541843,NULLABLE,D_823541843,STRING
D_910856756,NULLABLE,D_910856756,STRING
D_471018082,NULLABLE,D_471018082,STRING
D_940733450,NULLABLE,D_940733450,STRING
D_406137786,NULLABLE,D_406137786,STRING
