name,mode,type,description
d_536735468,NULLABLE,INTEGER,536735468
d_684635302,NULLABLE,INTEGER,684635302
d_141450621,NULLABLE,INTEGER,141450621
pin,NULLABLE,STRING,pin
d_131458944,NULLABLE,INTEGER,131458944
d_512820379,NULLABLE,INTEGER,512820379
d_821247024,NULLABLE,INTEGER,821247024
d_699625233,NULLABLE,INTEGER,699625233
state,NULLABLE,RECORD,state
d_121430614,NULLABLE,INTEGER,121430614
d_596510649,NULLABLE,INTEGER,596510649
d_285488731,NULLABLE,INTEGER,285488731
d_359404406,NULLABLE,INTEGER,359404406
d_123868967,NULLABLE,STRING,123868967
d_976570371,NULLABLE,INTEGER,976570371
d_990579614,NULLABLE,INTEGER,990579614
d_664453818,NULLABLE,STRING,664453818
d_113579866,NULLABLE,STRING,113579866
d_431428747,NULLABLE,INTEGER,431428747
d_777719027,NULLABLE,INTEGER,777719027
d_828729648,NULLABLE,INTEGER,828729648
d_547363263,NULLABLE,INTEGER,547363263
d_875010152,NULLABLE,INTEGER,875010152
d_639172801,NULLABLE,INTEGER,639172801
d_126331570,NULLABLE,INTEGER,126331570
d_914639140,NULLABLE,INTEGER,914639140
d_523768810,NULLABLE,INTEGER,523768810
d_624030581,NULLABLE,INTEGER,624030581
d_576083042,NULLABLE,INTEGER,576083042
d_919254129,NULLABLE,INTEGER,919254129
d_659990606,NULLABLE,STRING,659990606
d_230663853,NULLABLE,INTEGER,230663853
d_620696506,NULLABLE,INTEGER,620696506
d_866089092,NULLABLE,INTEGER,866089092
d_906417725,NULLABLE,INTEGER,906417725
d_912301837,NULLABLE,INTEGER,912301837
d_153713899,NULLABLE,INTEGER,153713899
d_685002411,NULLABLE,RECORD,685002411
d_265193023,NULLABLE,INTEGER,265193023
d_949302066,NULLABLE,INTEGER,949302066
d_734828170,NULLABLE,INTEGER,734828170
d_404289911,NULLABLE,INTEGER,404289911
d_311580100,NULLABLE,INTEGER,311580100
d_747006172,NULLABLE,INTEGER,747006172
d_663265240,NULLABLE,INTEGER,663265240
d_637147033,NULLABLE,INTEGER,637147033
d_100767870,NULLABLE,INTEGER,100767870
d_958588520,NULLABLE,INTEGER,958588520
d_987563196,NULLABLE,INTEGER,987563196
d_538619788,NULLABLE,INTEGER,538619788
d_175732191,NULLABLE,INTEGER,175732191
d_253883960,NULLABLE,INTEGER,253883960
d_919699172,NULLABLE,INTEGER,919699172
d_878865966,NULLABLE,INTEGER,878865966
token,NULLABLE,STRING,token
d_372303208,NULLABLE,INTEGER,372303208
d_459098666,NULLABLE,INTEGER,459098666
d_352891568,NULLABLE,INTEGER,352891568
d_269050420,NULLABLE,STRING,269050420
d_948195369,NULLABLE,INTEGER,948195369
d_827220437,NULLABLE,INTEGER,827220437
d_130371375,NULLABLE,RECORD,130371375
d_831041022,NULLABLE,INTEGER,831041022
d_167958071,NULLABLE,INTEGER,167958071
d_773707518,NULLABLE,INTEGER,773707518
d_150818546,NULLABLE,INTEGER,150818546
d_471593703,NULLABLE,STRING,471593703
d_379080287,NULLABLE,STRING,379080287
d_335767902,NULLABLE,STRING,335767902
d_142654897,NULLABLE,RECORD,142654897
d_507120821,NULLABLE,INTEGER,507120821
d_851245875,NULLABLE,INTEGER,851245875
d_995036844,NULLABLE,STRING,995036844
d_471168198,NULLABLE,STRING,471168198
Connect_ID,NULLABLE,INTEGER,Connect_ID
d_262613359,NULLABLE,STRING,262613359
d_454445267,NULLABLE,STRING,454445267
d_454205108,NULLABLE,STRING,454205108
d_412000022,NULLABLE,STRING,412000022
d_421823980,NULLABLE,STRING,421823980
d_736251808,NULLABLE,STRING,736251808
d_982402227,NULLABLE,STRING,982402227
d_558435199,NULLABLE,INTEGER,558435199
d_452166062,NULLABLE,INTEGER,452166062
d_892050548,NULLABLE,STRING,892050548
d_795827569,NULLABLE,STRING,795827569
d_117249500,NULLABLE,INTEGER,117249500
d_153211406,NULLABLE,STRING,153211406
d_271757434,NULLABLE,INTEGER,271757434
d_869588347,NULLABLE,STRING,869588347
query,NULLABLE,RECORD,query
d_634434746,NULLABLE,STRING,634434746
d_388711124,NULLABLE,STRING,388711124
d_564964481,NULLABLE,STRING,564964481
d_996038075,NULLABLE,STRING,996038075
d_521824358,NULLABLE,STRING,521824358
d_646873644,NULLABLE,INTEGER,646873644
d_544150384,NULLABLE,STRING,544150384
d_430551721,NULLABLE,STRING,430551721
d_703385619,NULLABLE,STRING,703385619
d_399159511,NULLABLE,STRING,399159511
d_371067537,NULLABLE,STRING,371067537
d_231676651,NULLABLE,STRING,231676651
d_205553981,NULLABLE,STRING,205553981
d_517311251,NULLABLE,STRING,517311251
d_452942800,NULLABLE,STRING,452942800
d_264644252,NULLABLE,STRING,264644252
d_914594314,NULLABLE,STRING,914594314
d_566565527,NULLABLE,INTEGER,566565527
verifiedSeen,NULLABLE,BOOLEAN,verifiedSeen
d_943232079,NULLABLE,STRING,943232079
d_315032037,NULLABLE,STRING,315032037
D_166676176,NULLABLE,RECORD,D_166676176
d_677381583,NULLABLE,INTEGER,677381583
d_541836531,NULLABLE,STRING,541836531
d_832139544,NULLABLE,STRING,832139544
d_386488297,NULLABLE,STRING,386488297
d_770257102,NULLABLE,STRING,770257102
firstSurveyCompletedSeen,NULLABLE,BOOLEAN,firstSurveyCompletedSeen
d_436680969,NULLABLE,STRING,436680969
d_348474836,NULLABLE,STRING,348474836
d_849786503,NULLABLE,STRING,849786503
d_454067894,NULLABLE,STRING,454067894
d_187894482,NULLABLE,INTEGER,187894482
d_983278853,NULLABLE,INTEGER,983278853
d_173836415,NULLABLE,RECORD,173836415
d_254109640,NULLABLE,INTEGER,254109640
d_331584571,NULLABLE,RECORD,331584571
d_438643922,NULLABLE,STRING,438643922
d_822499427,NULLABLE,STRING,822499427
d_222161762,NULLABLE,STRING,222161762
d_442166669,NULLABLE,STRING,442166669
d_793072415,NULLABLE,STRING,793072415
undefined,NULLABLE,INTEGER,undefined
d_598680838,NULLABLE,STRING,598680838
unverifiedSeen,NULLABLE,BOOLEAN,unverifiedSeen
d_480305327,NULLABLE,INTEGER,480305327
d_506826178,NULLABLE,INTEGER,506826178
d_289750687,NULLABLE,INTEGER,289750687
d_844088537,NULLABLE,STRING,844088537
d_217640691,NULLABLE,STRING,217640691
d_494982282,NULLABLE,STRING,494982282
d_266952173,NULLABLE,STRING,266952173
d_650597106,NULLABLE,INTEGER,650597106
utm_id,NULLABLE,STRING,utm_id
utm_source,NULLABLE,STRING,utm_source
d_299274441,NULLABLE,RECORD,299274441
d_479278368,NULLABLE,STRING,479278368
d_765336427,NULLABLE,STRING,765336427
d_693626233,NULLABLE,STRING,693626233
d_407743866,NULLABLE,STRING,407743866
d_613641698,NULLABLE,STRING,613641698
d_826240317,NULLABLE,STRING,826240317
d_577794331,NULLABLE,INTEGER,577794331
d_715390138,NULLABLE,STRING,715390138
